display_name,fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,source_server,subject_id,task_domain,task_group,valid_sampling_fraction
M2M-Reg,mr,0.0,35.367017972836074,0.11066609812026608,13.774735450744629,75.35658361805822,B09_m2m_reg,ct,3,4,38.948650932312006,MR_fixed__CT_moving__0004_tcia,13.756889909040183,0.5024954676628113,server1,0004_tcia,l2r_mrct,mr_target,0.9051830715603298
M2M-Reg,mr,0.0,8.20081898498081,0.4930252688458461,11.37696361541748,24.881842492599063,B09_m2m_reg,ct,4,4,26.874287986755366,MR_fixed__CT_moving__0006_tcia,14.227490684948862,0.459524929523468,server1,0006_tcia,l2r_mrct,mr_target,0.9882261488172743
M2M-Reg,mr,0.00030907524956597224,10.215816726003869,0.45417050154641647,10.494489669799805,24.679892129577194,B09_m2m_reg,ct,4,4,21.15579442977905,MR_fixed__CT_moving__0008_tcia,13.787443784996867,0.5767646431922913,server1,0008_tcia,l2r_mrct,mr_target,0.9750052558051215
M2M-Reg,mr,0.0,10.071443627701134,0.5011691417499639,16.96280860900879,32.04348965715877,B09_m2m_reg,ct,4,4,31.182824039459227,MR_fixed__CT_moving__0010_tcia,13.43881071684882,0.4845428764820099,server1,0010_tcia,l2r_mrct,mr_target,0.9406277126736111
M2M-Reg,mr,0.0,16.515496958230255,0.2332941306109304,10.695451736450195,44.549983457933905,B09_m2m_reg,ct,4,4,24.40349597930908,MR_fixed__CT_moving__0012_tcia,13.55727318301797,0.588978111743927,server1,0012_tcia,l2r_mrct,mr_target,0.9429974026150174
M2M-Reg,mr,0.0,21.69823566203363,0.23854013479183156,13.1707763671875,67.44584077132086,B09_m2m_reg,ct,4,4,37.74836864471435,MR_fixed__CT_moving__0014_tcia,14.00336841121316,0.45980143547058105,server1,0014_tcia,l2r_mrct,mr_target,0.8913475884331598
M2M-Reg,mr,0.0,6.552406473651326,0.5907541216922265,13.556845664978027,21.29995515714536,B09_m2m_reg,ct,4,4,26.641385459899897,MR_fixed__CT_moving__0016_tcia,13.59375033993274,0.5583531260490417,server1,0016_tcia,l2r_mrct,mr_target,0.9223424275716146
PRA-CM v3,mr,0.00035196940104166666,7.330813456885611,0.6014113929726929,5.836004734039307,23.242136530564988,B10_ours,ct,3,4,10.831579589843749,MR_fixed__CT_moving__0002_tcia,26.882683888077736,0.25169265270233154,server1,0002_tcia,l2r_mrct,mr_target,0.997358873155382
PRA-CM v3,mr,0.00015004475911458334,40.23075665959495,0.10728886491582296,5.848475456237793,74.87332904130245,B10_ours,ct,3,4,10.857484006881712,MR_fixed__CT_moving__0004_tcia,25.47237108834088,0.24199853837490082,server1,0004_tcia,l2r_mrct,mr_target,0.9977773030598959
PRA-CM v3,mr,0.0007147894965277777,6.532300589459474,0.6037538665889998,6.296447277069092,18.97886053572005,B10_ours,ct,4,4,11.572311496734619,MR_fixed__CT_moving__0006_tcia,25.42805219301954,0.27023547887802124,server1,0006_tcia,l2r_mrct,mr_target,0.9994912041558159
PRA-CM v3,mr,0.0013059828016493056,8.11782485717117,0.5829336797579792,5.854465961456299,21.81394649059674,B10_ours,ct,4,4,10.81168189048767,MR_fixed__CT_moving__0008_tcia,25.452348384074867,0.27487248182296753,server1,0008_tcia,l2r_mrct,mr_target,0.9991449991861979
PRA-CM v3,mr,0.0005632188585069444,15.435434456994242,0.3415128161425514,5.765961170196533,44.66155505954237,B10_ours,ct,4,4,11.202948808670044,MR_fixed__CT_moving__0010_tcia,25.48046304890886,0.2668297290802002,server1,0010_tcia,l2r_mrct,mr_target,0.9993525187174479
PRA-CM v3,mr,0.00054168701171875,18.476926683445036,0.19416143244406162,5.704493999481201,46.270809339216534,B10_ours,ct,4,4,11.238272142410278,MR_fixed__CT_moving__0012_tcia,25.41433236282319,0.3020792007446289,server1,0012_tcia,l2r_mrct,mr_target,0.9987765842013889
PRA-CM v3,mr,0.0006234063042534722,25.71585101970488,0.20238750360528926,6.443304538726807,67.9442619749321,B10_ours,ct,4,4,11.86985511779785,MR_fixed__CT_moving__0014_tcia,25.462749243713915,0.279842346906662,server1,0014_tcia,l2r_mrct,mr_target,0.9996646457248264
